ra,dec,NUMBER_IN,FILENAME,X_POS,Y_POS,MJD-OBS,OBJECT,FILTER,EXPTIME,S-SEEING,AIRMASS,PC-ZP,PC-ZPSTD,QC-FLAG,FLAGS_MASK,BACKGROUND,MAG_OPT,MAGERR_OPT,SNR_OPT,LIMMAG_OPT,FNU_OPT,FNUERR_OPT,MAG_APER_R0.66xFWHM,MAGERR_APER_R0.66xFWHM,SNR_APER_R0.66xFWHM,FNU_APER_R0.66xFWHM,FNUERR_APER_R0.66xFWHM,MAG_APER_R1.5xFWHM,MAGERR_APER_R1.5xFWHM,SNR_APER_R1.5xFWHM,FNU_APER_R1.5xFWHM,FNUERR_APER_R1.5xFWHM,MAG_APER_R5xFWHM,MAGERR_APER_R5xFWHM,SNR_APER_R5xFWHM,FNU_APER_R5xFWHM,FNUERR_APER_R5xFWHM
243.60635,-61.06684,250,ML1_20190721_185418_red,4340.70355127078,2199.4294141171004,58685.78771189535,1138,q,60.0,3.054441,1.1385409,23.704006,0.027852904,yellow,0,21.342632,13.7249775,0.0016421856,661.15314,19.223803,11749.22,17.770798,14.274644,0.0021535128,504.1698,7081.7827,14.046423,13.790405,0.0020494063,529.7808,11062.106,20.880533,13.5419855,0.005408956,200.72932,13906.111,69.27793
243.60635,-61.06684,250,ML1_20190721_191044_red,4335.786469944389,2218.4002706117817,58685.79913071255,1138,q,60.0,2.9973326,1.1403176,23.701233,0.027914103,yellow,0,22.518877,13.707546,0.0016308049,665.7671,19.220528,11939.371,17.933256,14.264138,0.002156948,503.36688,7150.638,14.205619,13.776647,0.0020599642,527.0655,11203.184,21.255772,13.537931,0.005556754,195.39037,13958.139,71.437195
243.60635,-61.06684,250,ML1_20190721_191211_red,4335.253235885973,2216.472788479288,58685.80013811787,1138,q,60.0,3.0176718,1.1406069,23.699335,0.028949033,yellow,0,22.371525,13.707744,0.0016308299,665.7569,19.231895,11937.205,17.930277,14.277271,0.0021628623,501.99042,7064.6553,14.073287,13.778863,0.0020482899,530.0696,11180.326,21.092186,13.535875,0.005468769,198.53392,13984.578,70.43924
243.60635,-61.06684,250,ML1_20190721_191339_red,4335.098530455612,2219.3620832151805,58685.80115629876,1138,q,60.0,3.3957272,1.1409212,23.705132,0.029099124,yellow,0,24.0603,13.707113,0.0016482424,658.72363,19.206926,11944.134,18.132238,14.28048,0.0021810061,497.81436,7043.807,14.149465,13.778559,0.0020811153,521.7088,11183.454,21.436201,13.492117,0.0054497435,199.227,14559.707,73.080986
243.60635,-61.06684,250,ML1_20190721_191507_red,4334.732672736422,2222.194323600428,58685.80217133147,1138,q,60.0,3.1663814,1.1412566,23.69971,0.029752692,yellow,0,22.41791,13.707292,0.0016338334,664.533,19.217762,11942.169,17.970768,14.269585,0.0021564167,503.49088,7114.853,14.131046,13.777076,0.0020555335,528.20166,11198.751,21.201656,13.519422,0.005452891,199.11203,14198.137,71.307274
243.60635,-61.06684,250,ML1_20190721_191635_red,4334.587060346517,2223.897940494382,58685.80318614427,1138,q,60.0,3.0911772,1.1416138,23.73304,0.031985324,yellow,0,22.785429,13.703797,0.0016116101,673.6966,19.220507,11980.67,17.78348,14.266261,0.0021348926,508.56714,7136.669,14.032895,13.771355,0.002033262,533.9873,11257.911,21.08273,13.523877,0.005448435,199.27487,14139.973,70.95713
243.60635,-61.06684,250,ML1_20190721_191802_red,4334.178802263487,2222.51591206445,58685.80420131008,1138,q,60.0,3.0814872,1.1419932,23.702143,0.029519381,yellow,0,22.631924,13.701091,0.0016282173,666.82513,19.218596,12010.574,18.01158,14.259702,0.0021558132,503.6318,7179.912,14.256272,13.768792,0.0020638308,526.07806,11284.512,21.450262,13.523628,0.005569158,194.95518,14143.229,72.54605
243.60635,-61.06684,250,ML1_20190721_191930_red,4333.793357577255,2225.9411088348475,58685.80521322932,1138,q,60.0,3.3345823,1.1423931,23.704905,0.031398945,yellow,0,21.403633,13.691432,0.0016277466,667.01794,19.215414,12117.893,18.167267,14.233411,0.0021153095,513.2753,7355.9004,14.331295,13.754698,0.0020184077,537.9172,11431.964,21.252275,13.47708,0.00518827,209.26746,14762.774,70.545006
243.60635,-61.06684,250,ML1_20190721_192057_red,4333.411176657252,2228.367850860011,58685.80622352818,1138,q,60.0,2.8949254,1.1428144,23.704363,0.029040715,yellow,0,23.543127,13.696023,0.0016177472,671.1408,19.248106,12066.765,17.979483,14.257491,0.0021494403,505.12506,7194.5435,14.2430935,13.765433,0.0020514382,529.2561,11319.482,21.387533,13.541662,0.005608091,193.60173,13910.244,71.84979
243.60635,-61.06684,250,ML1_20190721_192225_red,4332.931551843696,2230.26133456156,58685.80723656434,1138,q,60.0,2.9914699,1.1432587,23.701002,0.028481405,yellow,0,22.421762,13.699191,0.0016183172,670.9045,19.213097,12031.601,17.933405,14.254505,0.0021247314,510.99924,7214.3657,14.118154,13.76692,0.0020064926,541.1115,11303.988,20.890312,13.532818,0.0052965675,204.98863,14024.023,68.413666
243.60635,-61.06684,250,ML1_20190721_192352_red,4331.756305819669,2229.6322217210954,58685.80824909123,1138,q,60.0,3.2186606,1.1437247,23.703707,0.030113151,yellow,0,21.710426,13.694877,0.0016272899,667.20514,19.220516,12079.515,18.104649,14.272767,0.0021687688,500.6233,7094.0327,14.170401,13.766789,0.002063209,526.2367,11305.35,21.483393,13.5025835,0.0054959743,197.55116,14420.04,72.99395
243.60635,-61.06684,250,ML1_20190721_194016_red,4328.925507606511,2245.9667594442008,58685.81964094019,1138,q,60.0,4.6556144,1.1504956,23.707218,0.028867187,orange,0,20.970333,13.654612,0.0016855204,644.1549,19.132355,12535.894,19.460993,14.3049,0.002567674,422.8481,6887.1504,16.287527,13.743124,0.0027614562,393.1752,11554.465,29.387571,13.222458,0.007250741,149.74141,18664.492,124.64483
243.60635,-61.06684,250,ML1_20190721_194145_red,4328.5528164637535,2247.052480516418,58685.82066061991,1138,q,60.0,3.5919843,1.1512398,23.704523,0.028732158,yellow,0,22.95263,13.663841,0.0016409102,661.66705,19.176954,12429.786,18.78556,14.280908,0.0022588016,480.66916,7041.035,14.648403,13.750122,0.0022024913,492.95822,11480.237,23.28846,13.420154,0.005936167,182.90187,15557.434,85.05891
243.60635,-61.06684,250,ML1_20190721_194312_red,4328.47229364508,2251.260711463104,58685.82167115602,1138,q,60.0,3.4381158,1.1519997,23.704958,0.028359393,yellow,0,23.95114,13.66887,0.0016299409,666.11993,19.190939,12372.348,18.573753,14.265109,0.0021854914,496.79272,7144.249,14.380744,13.748748,0.0020868597,520.2727,11494.782,22.093763,13.452573,0.005497679,197.4899,15099.789,76.458534
243.60635,-61.06684,250,ML1_20190721_194439_red,4328.171194685282,2252.763855733776,58685.82268399539,1138,q,60.0,4.500817,1.1527841,23.710802,0.03548798,orange,0,23.002144,13.657245,0.0016949229,640.5815,19.131851,12505.527,19.52215,14.3459,0.0026640357,407.55316,6631.9272,16.272545,13.76209,0.0028475157,381.29242,11354.39,29.778692,13.259719,0.007661503,141.71321,18034.834,127.26289
243.60635,-61.06684,250,ML1_20190721_194606_red,4327.784250699386,2252.2370746689044,58685.82369199095,1138,q,60.0,3.4828103,1.1535872,23.699165,0.029552018,yellow,0,24.710218,13.663152,0.0016444371,660.248,19.166058,12437.678,18.837889,14.307554,0.0022700853,478.2799,6870.337,14.364677,13.7582245,0.0021609522,502.43414,11394.893,22.679377,13.444893,0.0057715233,188.1195,15206.966,80.83673
243.60635,-61.06684,250,ML1_20190721_194734_red,4327.183614590497,2254.061093382538,58685.82470158376,1138,q,60.0,3.48908,1.1544142,23.704851,0.033975538,yellow,0,23.608059,13.670463,0.0016339137,664.50037,19.188742,12354.206,18.591722,14.266617,0.0022051951,492.35376,7134.3306,14.490253,13.749578,0.0021261496,510.65842,11485.992,22.492514,13.444365,0.0056630285,191.72359,15214.364,79.35573
243.60635,-61.06684,250,ML1_20190721_194901_red,4326.491717530829,2257.859646343865,58685.82571279695,1138,q,60.0,3.6300273,1.1552653,23.702015,0.029827215,yellow,0,24.044641,13.670043,0.0016458649,659.6752,19.177446,12358.986,18.734957,14.284807,0.0022695512,478.39246,7015.797,14.665359,13.756581,0.0022299262,486.89334,11412.146,23.4387,13.416511,0.0060118693,180.59875,15609.726,86.43318
243.60635,-61.06684,250,ML1_20190721_195029_red,4326.239758894063,2259.2926092330863,58685.82673016182,1138,q,60.0,3.5061402,1.1561446,23.704372,0.029379377,yellow,0,24.043453,13.669122,0.0016377302,662.95184,19.172094,12369.472,18.658176,14.287029,0.0022360024,485.57022,7001.4575,14.419042,13.753847,0.0021485905,505.32486,11440.923,22.64073,13.443152,0.005750694,188.8009,15231.361,80.674194
243.60635,-61.06684,250,ML1_20190721_195156_red,4325.756371797083,2258.443137056814,58685.82773570944,1138,q,60.0,3.5500703,1.1570364,23.70465,0.02893039,yellow,0,23.642134,13.668465,0.0016402014,661.95294,19.167322,12376.968,18.697655,14.272936,0.0022358624,485.6006,7092.93,14.60651,13.750488,0.0021783484,498.4217,11476.375,23.025433,13.430125,0.005863558,185.16676,15415.219,83.25046
243.60635,-61.06684,250,ML1_20190721_195323_red,4325.729437077363,2259.652442942277,58685.82874692263,1138,q,60.0,3.3072424,1.1579562,23.728308,0.02937185,yellow,0,22.667778,13.65597,0.0016048542,676.5326,19.202131,12520.2295,18.50647,14.228488,0.002138612,507.6826,7389.3286,14.5550165,13.728479,0.0020578634,527.60364,11711.384,22.197313,13.454994,0.00552334,196.57239,15066.136,76.64421
243.60635,-61.06684,250,ML1_20190721_200942_red,4324.889896603345,2274.634692452618,58685.8400775612,1138,q,60.0,3.4753435,1.1698537,23.72092,0.029341588,yellow,0,23.410448,13.669766,0.0016588797,654.4997,19.173462,12362.132,18.88791,14.302251,0.0022836123,475.4468,6903.978,14.521031,13.763471,0.0022258542,487.78403,11339.957,23.247908,13.446798,0.006109218,177.72096,15180.294,85.41645
243.60635,-61.06684,250,ML1_20190721_201110_red,4324.679736745462,2277.070053499904,58685.84109178945,1138,q,60.0,3.9957318,1.1710633,23.721317,0.03207191,yellow,0,24.727146,13.677415,0.0016886767,642.9509,19.164478,12275.359,19.092218,14.308457,0.0024870492,436.55597,6864.6304,15.724514,13.764507,0.0026418027,410.98306,11329.139,27.565948,13.36635,0.0075633237,143.55278,16347.8125,113.88015
243.60635,-61.06684,250,ML1_20190721_201238_red,4324.643119984077,2279.488053537202,58685.84211111612,1138,q,60.0,3.1707327,1.1723034,23.72531,0.027174832,yellow,0,22.704111,13.687863,0.0016404219,661.864,19.216602,12157.789,18.369015,14.275731,0.002178598,498.36462,7074.6924,14.195815,13.76088,0.0020696938,524.5878,11367.044,21.668524,13.50303,0.0055883476,194.28572,14414.11,74.19028
243.60635,-61.06684,250,ML1_20190721_201405_red,4324.566078233953,2281.1542757472635,58685.84312117766,1138,q,60.0,3.6051943,1.1735563,23.719055,0.029216917,yellow,0,24.056547,13.68155,0.001677443,647.25665,19.177576,12228.6875,18.893105,14.311151,0.0023335104,465.28018,6847.6177,14.717192,13.770201,0.0023228978,467.4059,11269.889,24.111567,13.427532,0.0064402064,168.58717,15452.073,91.65628
243.60635,-61.06684,250,ML1_20190721_201533_red,4324.142324083099,2279.4258035310822,58685.8441351339,1138,q,60.0,3.6268532,1.1748384,23.720062,0.02717993,yellow,0,25.289051,13.685058,0.0016879557,643.2255,19.181599,12189.244,18.950188,14.318564,0.0023486924,462.27264,6801.0234,14.712148,13.774255,0.0023370937,464.5668,11227.875,24.168482,13.434512,0.0065036304,166.94308,15353.039,91.96571
243.60635,-61.06684,250,ML1_20190721_201700_red,4324.094600376776,2282.752006073236,58685.84514687369,1138,q,60.0,3.4514282,1.176142,23.723217,0.027546016,yellow,0,23.024498,13.691585,0.001666473,651.51746,19.199667,12116.19,18.596878,14.289728,0.00224053,484.58896,6984.071,14.41236,13.76831,0.002185598,496.76843,11289.526,22.725933,13.465009,0.0059745754,181.72609,14927.807,82.14455
243.60635,-61.06684,250,ML1_20190721_201828_red,4323.988974946097,2285.2223728662584,58685.84616093989,1138,q,60.0,3.7126405,1.1774731,23.721457,0.028559327,yellow,0,26.472076,13.684596,0.0017006448,638.4262,19.160728,12194.427,19.100761,14.325106,0.0024013883,452.12854,6760.174,14.951884,13.775701,0.0024294225,446.91122,11212.936,25.08985,13.426377,0.0068851444,157.69258,15468.522,98.092896
243.60635,-61.06684,250,ML1_20190721_201955_red,4323.808800580448,2286.9745659384903,58685.84716897015,1138,q,60.0,3.701167,1.1788207,23.711391,0.028736865,yellow,0,26.198332,13.682124,0.0017093868,635.1612,19.13996,12222.222,19.242708,14.339871,0.0024448559,444.09006,6668.857,15.016903,13.781026,0.0024772773,438.278,11158.081,25.45891,13.427002,0.007057759,153.83583,15459.617,100.494255
243.60635,-61.06684,250,ML1_20190721_202122_red,4323.712650089008,2285.6869183945946,58685.84817544947,1138,q,60.0,3.7120476,1.1801907,23.72269,0.027861286,yellow,0,25.040361,13.69202,0.0016960057,640.1725,19.201176,12111.325,18.918846,14.301964,0.0023565735,460.72662,6905.803,14.988938,13.771311,0.0023988564,452.60574,11258.361,24.874544,13.422786,0.006778058,160.18394,15519.775,96.88721
243.60635,-61.06684,250,ML1_20190721_202249_red,4323.711416000698,2289.318554283033,58685.84918956775,1138,q,60.0,3.9552283,1.1815957,23.712986,0.025918351,yellow,0,25.248396,13.686866,0.0017173195,632.22723,19.15294,12168.963,19.247766,14.309326,0.0024971054,434.79788,6859.1396,15.775467,13.7682705,0.0026559278,408.79733,11289.948,27.617472,13.378766,0.007658998,141.75955,16161.935,114.00949
